"Sheet","Row","Owner","用例ID","文档章节","测试分类","测试对象","类型","引用语法","测试内容","预期结果","YAML示例片段","触发事件","备注","可验API字段","JSON路径","预期规则","真测可达性","Column16","测试结果","失败原因/备注","测试会话","责任人","Column21"
"测试用例清单","10","yulin","TC-008","core-concepts/variables-secrets-context-expressions","secrets变量","secrets(组织级)","密钥","${{secrets.NAME}}","组织设置定义SECRET_ORG","组织下项目可用","env:
  T: ${{secrets.SECRET_ORG}}","any","","—","—","—(仅可经Job日志断言)","C �干细胞真测","","SKIP","SKIP: 难真测(外部Action/凭据/镜像/外部资源),仅验语法声明","S1","yulin",""
"测试用例清单","11","yulin","TC-009","core-concepts/variables-secrets-context-expressions","secrets变量","secrets(项目级)","密钥","${{secrets.NAME}}","项目设置定义SECRET_PROJ","仅当前项目可用","env:
  K: ${{secrets.SECRET_PROJ}}","any","","—","—","—(仅可经Job日志断言)","C �干细胞真测","","SKIP","SKIP: 难真测(外部Action/凭据/镜像/外部资源),仅验语法声明","S1","yulin",""
"测试用例清单","12","yulin","TC-010","core-concepts/variables-secrets-context-expressions","secrets变量","secrets(环境级)","密钥","${{secrets.NAME}}","绑定environment的secrets","仅job.environment匹配时可用","jobs:
  d:
    environment: prod
    env:
      K: ${{secrets.PROD_KEY}}","any","","—","—","—(仅可经Job日志断言)","C �干细胞真测","","SKIP","SKIP: 难真测(外部Action/凭据/镜像/外部资源),仅验语法声明","S1","yulin",""
"测试用例清单","13","yulin","TC-011","core-concepts/variables-secrets-context-expressions","secrets变量","secrets日志脱敏","安全","${{secrets.NAME}}","echo secrets值到日志","日志中替换为***","run: echo ""${{secrets.T}}""","any","","—","—","—(仅可经Job日志断言)","C �干细胞真测","","SKIP","SKIP: 难真测(外部Action/凭据/镜像/外部资源),仅验语法声明","S1","yulin",""
"测试用例清单","37","yulin","TC-035","syntax-reference/context","atomgit上下文属性","atomgit.action","属性(string)","${{atomgit.action}}","读取atomgit.action","返回当前Action名称,示例my-action","- run: echo ${{atomgit.action}}","any","","—","—","—(仅可经Job日志断言)","C 难真测","","PASS","suite-1","S13","yulin",""
"测试用例清单","38","yulin","TC-036","syntax-reference/context","atomgit上下文属性","atomgit.token","属性(string)","${{atomgit.token}}","读取atomgit.token","返回ATOMGIT_TOKEN令牌,示例ghs_xxx","- run: echo ${{atomgit.token}}","any","","—","—","—(仅可经Job日志断言)","C �干细胞真测","","SKIP","SKIP: 难真测(外部Action/凭据/镜像/外部资源),仅验语法声明","S13","yulin",""
"测试用例清单","102","yulin","TC-100","syntax-reference/context","secrets上下文","secrets.atomgit_token","属性","${{secrets.atomgit_token}}","读取atomgit_token","返回***脱敏","env:
  T: ${{secrets.atomgit_token}}","any","","—","—","—(仅可经Job日志断言)","C �干细胞真测","","SKIP","SKIP: 难真测(外部Action/凭据/镜像/外部资源),仅验语法声明","S1","yulin",""
"测试用例清单","103","yulin","TC-101","syntax-reference/context","secrets上下文","secrets.NPM_TOKEN","属性","${{secrets.NPM_TOKEN}}","读取NPM_TOKEN","返回***脱敏","env:
  T: ${{secrets.NPM_TOKEN}}","any","","—","—","—(仅可经Job日志断言)","C �干细胞真测","","SKIP","SKIP: 难真测(外部Action/凭据/镜像/外部资源),仅验语法声明","S1","yulin",""
"测试用例清单","104","yulin","TC-102","syntax-reference/context","secrets上下文","secrets.SUPERSECRET","属性","${{secrets.SUPERSECRET}}","读取SUPERSECRET","返回***脱敏","env:
  T: ${{secrets.SUPERSECRET}}","any","","—","—","—(仅可经Job日志断言)","C �干细胞真测","","SKIP","SKIP: 难真测(外部Action/凭据/镜像/外部资源),仅验语法声明","S1","yulin",""
"测试用例清单","196","yulin","TC-194","syntax-reference/variables","变量优先级","vars项目级>组织级","优先级","${{vars.VAR}}","同名vars项目级覆盖组织级","取项目级值","run: echo ${{vars.DUP}}","any","","—","—","—(仅可经Job日志断言)","C 难真测","","SKIP","SKIP: 难真测(vars需在AtomGit平台界面同时配置项目级和组织级同名变量才可验证覆盖规则),仅验语法声明","S13","yulin",""
"测试用例清单","197","yulin","TC-195","syntax-reference/variables","变量优先级","secrets项目级>组织级","优先级","${{secrets.NAME}}","同名secrets项目级覆盖组织级","取项目级值","run: echo ${{secrets.DUP}}","any","","—","—","—(仅可经Job日志断言)","C �干细胞真测","","SKIP","SKIP: 难真测(外部Action/凭据/镜像/外部资源),仅验语法声明","S13","yulin",""
"测试用例清单","222","yulin","TC-220","syntax-reference/variables","ATOMGIT_*系统变量","ATOMGIT_ACTIONS_ALLOW_UNSECURE_COMMANDS","系统变量","$ATOMGIT_ACTIONS_ALLOW_UNSECURE_COMMANDS","读取系统变量ATOMGIT_ACTIONS_ALLOW_UNSECURE_COMMANDS","返回是否允许不安全命令,示例false(默认)","- run: echo $ATOMGIT_ACTIONS_ALLOW_UNSECURE_COMMANDS","any","","—","—","—(仅可经Job日志断言)","C 难真测","","SKIP","SKIP: 难真测(该变量未设置时为空或false,设置时才注入,无法从shell内部验证平台默认值行为),仅验语法声明","S13","yulin",""
"测试用例清单","239","yulin","TC-237","core-concepts/trigger-events","触发配置","schedule.cron","触发配置","cron:'0 2 * * *'","配置schedule.cron","按cron时间触发","on:
  cron:'0 2 * * *'","schedule","","—","—","—(仅可经Job日志断言)","C 难真测","","SKIP","SKIP: 难真测(cron触发时刻由平台调度器决定),仅验文档约束","S3","yulin",""
"测试用例清单","275","yulin","TC-273","writing-pipelines/configure-jobs","Jobs配置","jobs.<id>.container","Job字段","jobs.<id>.container:value","配置jobs.<id>.container","应:Job自定义容器","jobs:
  build:
    container: value","any","","—","—","—(仅可经Job日志断言)","C �干细胞真测","","SKIP","SKIP: 难真测(外部Action/凭据/镜像/外部资源),仅验语法声明","S13","yulin",""
"测试用例清单","306","yulin","TC-304","writing-pipelines/using-actions","Action插件","checkout","Action插件","uses:checkout","调用checkout","应:拉取仓库代码","- uses: checkout
  with:
    param: value","any","","—","—","—(仅可经Job日志断言)","C �干细胞真测","","SKIP","SKIP: 难真测(外部Action/凭据/镜像/外部资源),仅验语法声明","S13","yulin",""
"测试用例清单","356","yulin","TC-354","security-permissions","安全与权限","secrets日志脱敏","安全配置","echo ${{secrets.X}}","配置secrets日志脱敏","日志替换为***","permissions:
  repository: read","any","","—","—","—(仅可经Job日志断言)","C 难真测","","SKIP","SKIP: 难真测(外部Action/凭据/镜像/外部资源),仅验语法声明","S13","yulin",""
"测试用例清单","357","yulin","TC-355","security-permissions","安全与权限","ATOMGIT_ACTIONS_ALLOW_UNSECURE_COMMANDS","安全配置","是否允许不安全命令","配置ATOMGIT_ACTIONS_ALLOW_UNSECURE_COMMANDS","默认false禁止set-env","permissions:
  repository: read","any","","—","—","—(仅可经Job日志断言)","C 难真测","","PASS","suite-2","S13","yulin",""
"测试用例清单","389","yulin","TC-387","writing-pipelines/workflow-file-location-structure","命名建议","ci.yml","命名","-","持续集成场景","push/PR时构建测试","文件名: ci.yml","any","","—","—","—(仅可经Job日志断言)","C 难真测","","","","S13","yulin",""
"测试用例清单","390","yulin","TC-388","writing-pipelines/workflow-file-location-structure","命名建议","pr-check.yml","命名","-","合并请求检查","PR提交时自动检查","文件名: pr-check.yml","any","","—","—","—(仅可经Job日志断言)","C 难真测","","","","S13","yulin",""
"测试用例清单","391","yulin","TC-389","writing-pipelines/workflow-file-location-structure","命名建议","release.yml","命名","-","发布流程","Tag触发发布","文件名: release.yml","any","","—","—","—(仅可经Job日志断言)","C 难真测","","","","S13","yulin",""
"测试用例清单","392","yulin","TC-390","writing-pipelines/workflow-file-location-structure","命名建议","docker-build.yml","命名","-","Docker镜像构建","构建并推送镜像","文件名: docker-build.yml","any","","—","—","—(仅可经Job日志断言)","C 难真测","","","","S13","yulin",""
"测试用例清单","393","yulin","TC-391","writing-pipelines/workflow-file-location-structure","命名建议","nightly.yml","命名","-","定时任务","每日定时构建","文件名: nightly.yml","any","","—","—","—(仅可经Job日志断言)","C 难真测","","","","S13","yulin",""
"测试用例清单","429","yulin","TC-427","writing-pipelines/configure-triggers","schedule","cron UTC时区","规则","-","cron使用UTC时间","需换算本地时间","cron: '0 2 * * *'","schedule","","—","—","—(仅可经Job日志断言)","C 难真测","","PASS","suite-3","S3","yulin",""
"测试用例清单","430","yulin","TC-428","writing-pipelines/configure-triggers","schedule","仅默认分支生效","规则","-","schedule仅在默认分支","非默认分支不触发定时","on:
  schedule:","schedule","","—","—","—(仅可经Job日志断言)","C 难真测","","SKIP","SKIP: 难真测(过滤行为由平台决定是否触发),仅验文档约束","S3","yulin",""
"测试用例清单","431","yulin","TC-429","writing-pipelines/configure-triggers","schedule","最短间隔5分钟","规则","-","schedule最短间隔","低于5分钟不生效","cron: '*/5 * * * *'","schedule","","—","—","—(仅可经Job日志断言)","C 难真测","","SKIP","SKIP: 难真测(平台限制由调度器强制执行),仅验文档约束","S3","yulin",""
"测试用例清单","432","yulin","TC-430","writing-pipelines/configure-triggers","schedule","调度延迟数分钟","规则","-","定时任务可能延迟","存在数分钟调度延迟","cron: '0 2 * * *'","schedule","","—","—","—(仅可经Job日志断言)","C 难真测","","SKIP","SKIP: 难真测(调度延迟由平台负载决定),仅验文档约束","S3","yulin",""
"测试用例清单","445","yulin","TC-443","writing-pipelines/using-variables-secrets","secrets安全","不要echo secrets","安全","echo '${{secrets.X}}'","可能绕过脱敏","避免此写法","-","any","echo ${{secrets}}不安全","—","—","—(仅可经Job日志断言)","C �干细胞真测","","SKIP","SKIP: 难真测(外部Action/凭据/镜像/外部资源),仅验语法声明","S1","yulin",""
"测试用例清单","446","yulin","TC-444","writing-pipelines/using-variables-secrets","secrets安全","不要写入制品/缓存","安全","-","secrets不写入artifact","避免泄露","-","any","","—","—","—(仅可经Job日志断言)","C �干细胞真测","","SKIP","SKIP: 难真测(外部Action/凭据/镜像/外部资源),仅验语法声明","S1","yulin",""
"测试用例清单","473","yulin","TC-471","syntax-reference/trigger-events","cron特殊符号","* 任意值","符号","* * * * *","匹配任意值","每分钟触发","cron: '* * * * *'","schedule","","—","—","—(仅可经Job日志断言)","C 难真测","","SKIP","SKIP: 难真测(cron符号语义由平台按POSIX解析),仅验文档约束","S3","yulin",""
"测试用例清单","474","yulin","TC-472","syntax-reference/trigger-events","cron特殊符号",", 列表分隔","符号","1,3,5","列表分隔","第1、3、5","cron: '0 0 * * 1,3,5'","schedule","","—","—","—(仅可经Job日志断言)","C 难真测","","SKIP","SKIP: 难真测(cron符号语义由平台按POSIX解析),仅验文档约束","S3","yulin",""
"测试用例清单","475","yulin","TC-473","syntax-reference/trigger-events","cron特殊符号","- 范围","符号","1-5","范围","1到5","cron: '0 0 * * 1-5'","schedule","","—","—","—(仅可经Job日志断言)","C 难真测","","SKIP","SKIP: 难真测(cron符号语义由平台按POSIX解析),仅验文档约束","S3","yulin",""
"测试用例清单","476","yulin","TC-474","syntax-reference/trigger-events","cron特殊符号","/ 步长","符号","*/15","步长","每15单位","cron: '*/15 * * * *'","schedule","","—","—","—(仅可经Job日志断言)","C 难真测","","SKIP","SKIP: 难真测(cron符号语义由平台按POSIX解析),仅验文档约束","S3","yulin",""
"测试用例清单","477","yulin","TC-475","syntax-reference/trigger-events","cron位置","分钟(0-59)","位置","cron: 'm * * * *'","每小时第几分钟","0-59","cron: '30 * * * *'","schedule","","—","—","—(仅可经Job日志断言)","C 难真测","","PASS","suite-3","S3","yulin",""
"测试用例清单","478","yulin","TC-476","syntax-reference/trigger-events","cron位置","小时(0-23)","位置","cron: '* h * * *'","UTC时间小时","0-23","cron: '0 2 * * *'","schedule","","—","—","—(仅可经Job日志断言)","C 难真测","","PASS","suite-3","S3","yulin",""
"测试用例清单","479","yulin","TC-477","syntax-reference/trigger-events","cron位置","日(1-31)","位置","cron: '* * d * *'","每月第几天","1-31","cron: '0 0 1 * *'","schedule","","—","—","—(仅可经Job日志断言)","C 难真测","","PASS","suite-3","S3","yulin",""
"测试用例清单","480","yulin","TC-478","syntax-reference/trigger-events","cron位置","月(1-12)","位置","cron: '* * * m *'","月份","1-12","cron: '0 0 1 1 *'","schedule","","—","—","—(仅可经Job日志断言)","C 难真测","","PASS","suite-3","S3","yulin",""
"测试用例清单","481","yulin","TC-479","syntax-reference/trigger-events","cron位置","星期(0-6)","位置","cron: '* * * * w'","0=周日..6=周六","0-6","cron: '0 0 * * 0'","schedule","","—","—","—(仅可经Job日志断言)","C 难真测","","PASS","suite-3","S3","yulin",""
"测试用例清单","507","yulin","TC-505","syntax-reference/trigger-events","cron特殊符号","cron逗号,枚举","边界","cron: '5,15,25 * * * *'","逗号枚举多个值","第5/15/25分钟触发","cron: '5,15,25 * * * *'","schedule","","—","—","—(仅可经Job日志断言)","C 难真测","","SKIP","SKIP: 难真测(cron符号语义由平台按POSIX解析),仅验文档约束","S3","yulin",""
"测试用例清单","508","yulin","TC-506","syntax-reference/trigger-events","cron特殊符号","cron连字符-区间","边界","cron: '0-5 * * * *'","连字符表示区间","第0~5分钟连续触发","cron: '0-5 * * * *'","schedule","","—","—","—(仅可经Job日志断言)","C 难真测","","SKIP","SKIP: 难真测(cron符号语义由平台按POSIX解析),仅验文档约束","S3","yulin",""
"测试用例清单","509","yulin","TC-507","syntax-reference/trigger-events","cron特殊符号","cron斜杠/步长","边界","cron: '*/15 * * * *'","斜杠表示步长","每15分钟触发一次","cron: '*/15 * * * *'","schedule","","—","—","—(仅可经Job日志断言)","C 难真测","","SKIP","SKIP: 难真测(cron符号语义由平台按POSIX解析),仅验文档约束","S3","yulin",""
"测试用例清单","510","yulin","TC-508","syntax-reference/trigger-events","cron特殊符号","cron问号?日或周","边界","cron: '0 2 ? * *'","问号代替日或周","日和周不能同时指定","cron: '0 2 ? * *'","schedule","?表示不指定","—","—","—(仅可经Job日志断言)","C 难真测","","SKIP","SKIP: 难真测(cron符号语义由平台按POSIX解析),仅验文档约束","S3","yulin",""
"测试用例清单","511","yulin","TC-509","syntax-reference/trigger-events","cron特殊符号","cron字符L月末","边界","cron: '0 0 L * *'","L表示最后","月末最后一天触发","cron: '0 0 L * *'","schedule","L=last","—","—","—(仅可经Job日志断言)","C 难真测","","SKIP","SKIP: 难真测(cron符号语义由平台按POSIX解析),仅验文档约束","S3","yulin",""
"测试用例清单","512","yulin","TC-510","syntax-reference/trigger-events","cron特殊符号","cron字符W最近工作日","边界","cron: '0 0 15W * *'","W表示最近工作日","15号最近的工作日触发","cron: '0 0 15W * *'","schedule","W=weekday","—","—","—(仅可经Job日志断言)","C 难真测","","SKIP","SKIP: 难真测(cron符号语义由平台按POSIX解析),仅验文档约束","S3","yulin",""
"测试用例清单","513","yulin","TC-511","syntax-reference/trigger-events","cron特殊符号","cron字符#第N周","边界","cron: '0 0 * * 2#3'","#表示第N个星期","每月第3个周二触发","cron: '0 0 * * 2#3'","schedule","#=nth","—","—","—(仅可经Job日志断言)","C 难真测","","SKIP","SKIP: 难真测(cron符号语义由平台按POSIX解析),仅验文档约束","S3","yulin",""
"测试用例清单","514","yulin","TC-512","syntax-reference/trigger-events","cron特殊符号","cron区间+步长组合","边界","cron: '5-45/10 * * * *'","区间和步长组合","5到45每10分钟触发","cron: '5-45/10 * * * *'","schedule","","—","—","—(仅可经Job日志断言)","C 难真测","","SKIP","SKIP: 难真测(cron符号语义由平台按POSIX解析),仅验文档约束","S3","yulin",""
"测试用例清单","532","yulin","TC-530","core-concepts/variables-secrets-context-expressions","secrets安全","引用未定义secret","边界","secrets.NOT_EXIST","引用未在界面配置的secret","应:返回空串而非报错","env: {T: ${{secrets.NOT_EXIST}}}","any","安全降级","—","—","—(仅可经Job日志断言)","C 难真测","","SKIP","SKIP: 测不动(平台侧校验/UI人工/外部仓库),仅验文档约束","S1","yulin",""
"测试用例清单","533","yulin","TC-531","core-concepts/variables-secrets-context-expressions","secrets安全","secret名含连字符","边界","secrets.my-secret","secret名含连字符","应:正常访问","${{secrets.my-secret}}","any","","—","—","—(仅可经Job日志断言)","C �干细胞真测","","SKIP","SKIP: 难真测(外部Action/凭据/镜像/外部资源),仅验语法声明","S1","yulin",""
"测试用例清单","534","yulin","TC-532","core-concepts/variables-secrets-context-expressions","secrets安全","secret空值","边界","secrets.EMPTY","secret配置为空串","应:返回空串,不报错","${{secrets.EMPTY}}","any","","—","—","—(仅可经Job日志断言)","C �干细胞真测","","SKIP","SKIP: 难真测(外部Action/凭据/镜像/外部资源),仅验语法声明","S1","yulin",""
"测试用例清单","535","yulin","TC-533","core-concepts/variables-secrets-context-expressions","变量优先级","env与vars同名","边界","-","env和vars同名变量","应:env覆盖vars","-","any","env>vars规则","—","—","—(仅可经Job日志断言)","C 难真测","","SKIP","SKIP: 难真测(vars需在AtomGit平台界面定义同名变量才可对比,无法从shell内部独立验证覆盖结果),仅验语法声明","S2","yulin",""
"测试用例清单","536","yulin","TC-534","core-concepts/variables-secrets-context-expressions","变量优先级","vars与系统变量同名","边界","-","vars与ATOMGIT_*同名","应:vars覆盖系统变量","-","any","vars>系统变量","—","—","—(仅可经Job日志断言)","C 难真测","","SKIP","SKIP: 难真测(vars需在AtomGit平台界面定义与系统变量同名的vars才可对比),仅验语法声明","S2","yulin",""
"测试用例清单","537","yulin","TC-535","core-concepts/variables-secrets-context-expressions","变量优先级","secrets与vars同名","边界","-","secrets与vars同名","应:独立命名空间互不影响","-","any","不同空间","—","—","—(仅可经Job日志断言)","C 难真测","","SKIP","SKIP: 难真测(secrets和vars均需平台界面定义同名项才可验证独立性),仅验语法声明","S13","yulin",""
"测试用例清单","564","yulin","TC-562","writing-pipelines/configure-triggers","触发配置","schedule非默认分支","边界","-","在非默认分支定义schedule","应:不触发(仅默认分支生效)","schedule: [{cron}]","schedule","文档明示限制","—","—","—(仅可经Job日志断言)","C 难真测","","SKIP","SKIP: 测不动(平台侧校验/UI人工/外部仓库),仅验文档约束","S3","yulin",""
"测试用例清单","565","yulin","TC-563","writing-pipelines/configure-triggers","触发配置","schedule调度延迟","边界","-","定时触发存在数分钟延迟","应:容忍数分钟延迟,不精确到秒","-","schedule","文档明示延迟","—","—","—(仅可经Job日志断言)","C 难真测","","SKIP","SKIP: 测不动(平台侧校验/UI人工/外部仓库),仅验文档约束","S3","yulin",""
